,FIPS Code,JUL21 SNAP Households
1194,27023,499
1195,27025,1278
1196,27027,3367
1197,27029,346
1198,27031,137
1199,27033,563
1200,27035,2324
1201,27037,10644
1202,27041,1230
1203,27043,627
1204,27045,559
1205,27047,1581
1206,27049,1297
1207,27051,246
1208,27053,65774
1209,27055,477
1210,27057,999
1211,27059,1214
1212,27061,2296
1213,27063,332
1214,27065,833
1215,27067,2125
1216,27069,138
1217,27071,701
1218,27073,250
1219,27075,295
1220,27077,131
1221,27079,612
1222,27081,159
1223,27083,1151
1224,27085,927
1225,27087,151
1226,27089,265
1227,27091,967
1228,27093,743
1229,27095,1168
1230,27097,1162
1231,27099,2030
1232,27101,246
1233,27103,956
1234,27105,767
1235,27107,314
1236,27109,6060
1237,27111,1950
1238,27113,519
1239,27115,1475
1240,27117,333
1241,27119,1711
1242,27121,376
1243,27123,36061
1244,27125,151
1245,27127,501
1246,27129,607
1247,27131,1696
1248,27133,306
1249,27135,440
1250,27137,11325
1251,27139,2426
1252,27141,2060
1253,27143,420
1254,27145,6143
1255,27147,2780
1256,27149,304
1257,27151,427
1258,27153,865
1259,27155,218
1260,27157,538
1261,27159,793
1262,27163,5014
1263,27165,298
1264,27167,332
1265,27169,1656
1266,27171,2423
1267,27173,312
1268,27175,33
1269,27177,1277
1270,27179,1725
1271,28001,2774
1272,28003,2126
1273,28005,1062
1274,28007,1556
1275,28009,769
1276,28011,4150
1277,28013,913
1278,28015,611
1279,28017,1186
1280,28019,507
1281,28021,1354
1282,28023,1324
1283,28025,1793
1284,28027,3872
1285,28029,3090
1286,28031,1552
1287,28033,5637
1288,28035,5036
1289,28037,600
1290,28039,1300
1291,28041,736
1292,28043,1649
1293,28045,2506
1294,28047,15955
1295,28049,19483
1296,28051,2666
1297,28053,1695
1298,28055,117
1299,28057,898
1300,28059,7668
1301,28061,1457
1302,28063,1029
1303,28065,996
1304,28067,3914
1305,28069,878
1306,28071,1619
1307,28073,2041
1308,28075,6279
1309,28077,984
1310,28079,1392
1311,28081,4105
1312,28083,4121
1313,28085,2370
1314,28087,4933
1315,28089,4109
1316,28091,1675
1317,28093,2239
1318,28095,1794
1319,28097,881
1320,28099,2472
1321,28101,1121
1322,28103,1803
1323,28105,2700
1324,28107,2681
1325,28109,3802
1326,28111,863
1327,28113,3806
1328,28115,1173
1329,28117,1272
1330,28119,773
1331,28121,4255
1332,28123,1735
1333,28125,733
1334,28127,1718
1335,28129,638
1336,28131,1220
1337,28133,3698
1338,28135,1082
1339,28137,1597
1340,28139,927
1341,28141,754
1342,28143,1534
1343,28145,1147
1344,28147,999
1345,28149,4282
1346,28151,7033
1347,28153,2184
