,FIPS,Jan22 SNAP Households
989,21199,4569.0
990,21201,135.0
991,21203,1563.0
992,21205,1679.0
993,21207,1491.0
994,21209,1633.0
995,21211,1180.0
996,21213,843.0
997,21215,410.0
998,21217,1828.0
999,21219,586.0
1000,21221,583.0
1001,21223,276.0
1002,21225,644.0
1003,21227,6248.0
1004,21229,1124.0
1005,21231,2063.0
1006,21233,644.0
1007,21235,3646.0
1008,21237,939.0
1009,21239,755.0
1010,22001,6697.0
1011,22003,2002.0
1012,22005,6122.0
1013,22007,2028.0
1014,22009,5062.0
1015,22011,2355.0
1016,22013,1555.0
1017,22015,7946.0
1018,22017,26485.0
1019,22019,13460.0
1020,22021,1059.0
1021,22023,241.0
1022,22025,1189.0
1023,22027,1707.0
1024,22029,2632.0
1025,22031,2629.0
1026,22033,38827.0
1027,22035,1067.0
1028,22037,1466.0
1029,22039,4243.0
1030,22041,2696.0
1031,22043,1785.0
1032,22045,8227.0
1033,22047,3432.0
1034,22049,1401.0
1035,22051,33615.0
1036,22053,2704.0
1037,22055,18453.0
1038,22057,7281.0
1039,22059,1046.0
1040,22061,3928.0
1041,22063,8770.0
1042,22065,1636.0
1043,22067,3781.0
1044,22069,4240.0
1045,22071,44926.0
1046,22073,17040.0
1047,22075,1334.0
1048,22077,2029.0
1049,22079,12933.0
1050,22081,1010.0
1051,22083,2361.0
1052,22085,2197.0
1053,22087,4641.0
1054,22089,2857.0
1055,22091,1589.0
1056,22093,1775.0
1057,22095,4388.0
1058,22097,11271.0
1059,22099,5257.0
1060,22101,5670.0
1061,22103,12171.0
1062,22105,13105.0
1063,22107,678.0
1064,22109,10074.0
1065,22111,2019.0
1066,22113,5325.0
1067,22115,2927.0
1068,22117,5914.0
1069,22119,4019.0
1070,22121,2016.0
1071,22123,1164.0
1072,22125,639.0
1073,22127,1386.0
1074,23000,91249.0
1075,24001,9028.0
1076,24003,35629.0
1077,24005,71869.0
1078,24009,4729.0
1079,24011,3534.0
1080,24013,5931.0
1081,24015,8459.0
1082,24017,11744.0
1083,24019,5232.0
1084,24021,10895.0
1085,24023,2365.0
1086,24025,14063.0
1087,24027,12687.0
1088,24029,1965.0
1089,24031,42150.0
1090,24033,85463.0
1091,24035,2064.0
1092,24037,7201.0
1093,24039,3399.0
1094,24041,2870.0
1095,24043,14835.0
1096,24045,12348.0
1097,24047,4459.0
1098,24510,125590.0
1099,25000,605489.0
1100,26001,739.0
1101,26003,421.0
1102,26005,4977.0
1103,26007,2350.0
1104,26009,1076.0
1105,26011,1175.0
1106,26013,530.0
1107,26015,2545.0
1108,26017,7922.0
1109,26019,723.0
1110,26021,11165.0
1111,26023,2448.0
1112,26025,11957.0
1113,26027,3082.0
1114,26029,966.0
1115,26031,1687.0
1116,26033,2053.0
1117,26035,3404.0
1118,26037,2419.0
1119,26039,1117.0
1120,26041,2297.0
1121,26043,1385.0
1122,26045,5273.0
1123,26047,1147.0
1124,26049,42225.0
1125,26051,2012.0
1126,26053,1318.0
1127,26055,3471.0
1128,26057,2492.0
1129,26059,2902.0
1130,26061,1742.0
1131,26063,1833.0
1132,26065,20999.0
1133,26067,3461.0
1134,26069,2435.0
1135,26071,865.0
1136,26073,4071.0
1137,26075,10350.0
1138,26077,17053.0
1139,26079,1170.0
1140,26081,36062.0
1141,26083,89.0
1142,26085,1496.0
1143,26087,3917.0
1144,26089,388.0
1145,26091,5260.0
1146,26093,4194.0
1147,26095,451.0
1148,26097,501.0
1149,26099,53831.0
1150,26101,1694.0
1151,26103,3229.0
1152,26105,2049.0
1153,26107,2681.0
1154,26109,1269.0
1155,26111,4448.0
1156,26113,929.0
1157,26115,7771.0
1158,26117,4235.0
1159,26119,774.0
1160,26121,17301.0
