,FIPS,JAN22 SNAP Households,State Name,County Name,Sep22 ACP Total Subscribers
430,13159,1101.0,GEORGIA,JASPER COUNTY,439.0
431,13161,1652.0,GEORGIA,JEFF DAVIS COUNTY,768.0
432,13163,1961.0,GEORGIA,JEFFERSON COUNTY,1076.0
433,13165,1110.0,GEORGIA,JENKINS COUNTY,656.0
434,13167,1061.0,GEORGIA,JOHNSON COUNTY,506.0
435,13169,1870.0,GEORGIA,JONES COUNTY,1435.0
436,13171,1860.0,GEORGIA,LAMAR COUNTY,1276.0
437,13173,1050.0,GEORGIA,LANIER COUNTY,559.0
438,13175,6247.0,GEORGIA,LAURENS COUNTY,4730.0
439,13177,1976.0,GEORGIA,LEE COUNTY,1044.0
440,13179,4921.0,GEORGIA,LIBERTY COUNTY,2854.0
441,13181,647.0,GEORGIA,LINCOLN COUNTY,343.0
442,13183,1315.0,GEORGIA,LONG COUNTY,748.0
443,13185,11268.0,GEORGIA,LOWNDES COUNTY,7533.0
444,13187,1569.0,GEORGIA,LUMPKIN COUNTY,914.0
445,13189,2513.0,GEORGIA,MCDUFFIE COUNTY,1599.0
446,13191,1202.0,GEORGIA,MCINTOSH COUNTY,520.0
447,13193,1504.0,GEORGIA,MACON COUNTY,999.0
448,13195,2065.0,GEORGIA,MADISON COUNTY,1322.0
449,13197,914.0,GEORGIA,MARION COUNTY,437.0
450,13199,2355.0,GEORGIA,MERIWETHER COUNTY,1552.0
451,13201,707.0,GEORGIA,MILLER COUNTY,386.0
452,13205,3038.0,GEORGIA,MITCHELL COUNTY,1771.0
453,13207,1761.0,GEORGIA,MONROE COUNTY,1122.0
454,13209,858.0,GEORGIA,MONTGOMERY COUNTY,451.0
455,13211,1261.0,GEORGIA,MORGAN COUNTY,741.0
456,13213,3537.0,GEORGIA,MURRAY COUNTY,3507.0
457,13215,22028.0,GEORGIA,MUSCOGEE COUNTY,16587.0
458,13217,10144.0,GEORGIA,NEWTON COUNTY,7155.0
459,13219,763.0,GEORGIA,OCONEE COUNTY,566.0
460,13221,993.0,GEORGIA,OGLETHORPE COUNTY,680.0
461,13223,7798.0,GEORGIA,PAULDING COUNTY,3813.0
462,13225,2798.0,GEORGIA,PEACH COUNTY,1922.0
463,13227,1694.0,GEORGIA,PICKENS COUNTY,792.0
464,13229,1759.0,GEORGIA,PIERCE COUNTY,805.0
465,13231,1006.0,GEORGIA,PIKE COUNTY,320.0
466,13233,4334.0,GEORGIA,POLK COUNTY,3712.0
467,13235,931.0,GEORGIA,PULASKI COUNTY,550.0
468,13237,1705.0,GEORGIA,PUTNAM COUNTY,1154.0
469,13239,317.0,GEORGIA,QUITMAN COUNTY,203.0
470,13241,858.0,GEORGIA,RABUN COUNTY,432.0
471,13243,1158.0,GEORGIA,RANDOLPH COUNTY,634.0
472,13245,23224.0,GEORGIA,RICHMOND COUNTY,16468.0
473,13247,7739.0,GEORGIA,ROCKDALE COUNTY,4247.0
474,13249,415.0,GEORGIA,SCHLEY COUNTY,202.0
475,13251,1700.0,GEORGIA,SCREVEN COUNTY,869.0
476,13253,1227.0,GEORGIA,SEMINOLE COUNTY,558.0
477,13255,8097.0,GEORGIA,SPALDING COUNTY,5133.0
478,13257,2640.0,GEORGIA,STEPHENS COUNTY,1536.0
479,13259,677.0,GEORGIA,STEWART COUNTY,299.0
480,13261,4594.0,GEORGIA,SUMTER COUNTY,2709.0
481,13263,779.0,GEORGIA,TALBOT COUNTY,441.0
482,13265,194.0,GEORGIA,TALIAFERRO COUNTY,127.0
483,13267,1992.0,GEORGIA,TATTNALL COUNTY,1120.0
484,13269,1034.0,GEORGIA,TAYLOR COUNTY,496.0
485,13271,1530.0,GEORGIA,TELFAIR COUNTY,842.0
486,13273,1550.0,GEORGIA,TERRELL COUNTY,1039.0
487,13275,4801.0,GEORGIA,THOMAS COUNTY,3267.0
488,13277,4521.0,GEORGIA,TIFT COUNTY,2351.0
489,13279,3296.0,GEORGIA,TOOMBS COUNTY,2285.0
490,13281,564.0,GEORGIA,TOWNS COUNTY,265.0
491,13283,855.0,GEORGIA,TREUTLEN COUNTY,355.0
492,13285,6754.0,GEORGIA,TROUP COUNTY,6574.0
493,13287,1236.0,GEORGIA,TURNER COUNTY,746.0
494,13289,997.0,GEORGIA,TWIGGS COUNTY,549.0
495,13291,1050.0,GEORGIA,UNION COUNTY,565.0
496,13293,3610.0,GEORGIA,UPSON COUNTY,3115.0
497,13295,4916.0,GEORGIA,WALKER COUNTY,3000.0
498,13297,5817.0,GEORGIA,WALTON COUNTY,3131.0
499,13299,4438.0,GEORGIA,WARE COUNTY,2782.0
500,13301,743.0,GEORGIA,WARREN COUNTY,330.0
501,13303,2232.0,GEORGIA,WASHINGTON COUNTY,1891.0
502,13305,2933.0,GEORGIA,WAYNE COUNTY,1752.0
503,13307,297.0,GEORGIA,WEBSTER COUNTY,118.0
504,13309,597.0,GEORGIA,WHEELER COUNTY,276.0
505,13311,1457.0,GEORGIA,WHITE COUNTY,950.0
506,13313,6569.0,GEORGIA,WHITFIELD COUNTY,5906.0
507,13315,917.0,GEORGIA,WILCOX COUNTY,457.0
508,13317,1177.0,GEORGIA,WILKES COUNTY,684.0
